"RefDes";"Name";"Value";"Quantity"
"C1";"CAP200RP";"100u";"1"
"C2, C5, C6";"POLCAP";"10u";"3"
"C3, C4";"CAP100";"0.01u";"2"
"C7";"CAP_0402";"0.1uF";"1"
"C8";"";"100uF/50V";"1"
"C9";"POLCAP";"1u";"1"
"C10, C11, C12, C14, C15, C18";"CL31B225KBHNNNE";"2,2uF/50V";"6"
"C13";"CAP_0402";"22pF";"1"
"C16";"CAP_0402";"0.47uF";"1"
"C17";"CAP_0402";"0.01uF";"1"
"C19, C20, C21, C22, C23, C24, C25";"CAP_0603";"0.01u";"7"
"C26, C27";"CAP_0402";"22";"2"
"D1, D2";"DIODE";"";"2"
"D3";"STPS3L60S";"";"1"
"D4, D5, D6";"LED";"";"3"
"D7";"DIODE";"1N4149";"1"
"D8, D9";"DIODE";"1N4148";"2"
"J1";"4840-2201";"";"1"
"J2";"1027";"";"1"
"J3, J4";"DF4-20DP-2C";"";"2"
"L1";"CDRH8D43NP-150NC";"15uH/2.3A";"1"
"LS1";"AI-1223-TWT-5V-R";"";"1"
"Q1, Q2";"IRF4905";"";"2"
"R1, R6";"RES400";"1k";"2"
"R2, R8, R14";"RES400";"10k";"3"
"R3, R4";"RES_0402";"56k";"2"
"R5, R7";"RES_0402";"4.7k";"2"
"R9";"RES_0402";"1.5k";"1"
"R10, R13";"RES400";"200";"2"
"R11";"RES_0402";"220k";"1"
"R12";"RES_0402";"20k";"1"
"R15, R16, R17";"RES_0603";"";"3"
"R18";"RES400";"100k";"1"
"R19, R20";"RES400";"-";"2"
"R21, R22, R23, R24";"RES_0603";"0";"4"
"R25, R26";"RES_0603";"-";"2"
"R27, R28, R32";"RES_0603";"10k";"3"
"R29, R30, R31";"RES_0805";"10k";"3"
"S1";"B3F-1020";"";"1"
"U1";"NE555N";"";"1"
"U2";"L7905ACV";"";"1"
"U3";"TPS54260";"";"1"
"U4";"i8080";"";"1"
"U5";"DP8224N";"";"1"
"U6";"i8238";"";"1"
"U7";"CY62256L-70PC";"";"1"
"U8";"M27256F1";"";"1"
"U9";"DM7404N";"";"1"
"U10";"8255";"";"1"
"U11";"PCF8563P";"";"1"
"Vา1";"สา315";"";"1"
"Y1";"ECS-240-20-1";"";"1"
"Y2";"R145-32.768";"";"1"
